    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 145    39.55      1.00279e+07       81        0.0218267              N/A      2.04s 29
 146    40.64           108152       79        0.0217563              N/A      1.52s 28
 147    43.57      4.80802e+06       79        0.0217563              N/A      0.97s 28
 148    43.26          21913.7       79        0.0217563              N/A      0.51s 29
 149    42.16      1.77463e+10       79        0.0217563              N/A      0.00s 29
 150    43.14           3887.6       79        0.0217563              N/A     29.05s 29
 151    43.63          2674.13       79        0.0217563              N/A     25.20s 28
 152    41.39          2514.17       79        0.0217563              N/A     25.05s 28
 153    40.45      4.80554e+06       79        0.0217563              N/A     22.89s 28
 154    41.04          1664.76       79        0.0217563              N/A     27.36s 28
 155    41.95      1.84068e+10       79        0.0217563              N/A     20.13s 29
 156    43.68          3786.53       79        0.0217563              N/A     25.74s 28
 157    44.59          15696.5       79        0.0217563              N/A     22.79s 29
 158    42.81          4338.49       79        0.0217563              N/A     24.78s 29
 159    45.80      7.62076e+07       79        0.0217563              N/A     23.26s 29
 160    43.43          446.204       79        0.0217563              N/A     24.03s 29
 161    45.31            25121       79        0.0217563              N/A     23.30s 29
 162    45.55          1246.61       79        0.0217563              N/A     19.61s 30
 163    43.64          1303.02       79        0.0217563              N/A     18.27s 30
 164    43.39          12879.8       79        0.0217563              N/A     20.14s 30
 165    43.23      4.63267e+06      101        0.0215823              N/A     23.66s 31
 166    45.02          25303.9      119        0.0214615              N/A     17.80s 33
 167    50.52           277834      105        0.0213345              N/A     18.21s 33
 168    48.90           274835      105        0.0213345              N/A     16.91s 35
 169    52.52          9023.82      107          0.02132              N/A     19.03s 37
 170    54.30      2.48739e+07      107          0.02132              N/A     16.51s 36
 171    52.94      1.08823e+06      113        0.0212775              N/A     15.82s 37
 172    55.04          14353.7      113        0.0212775              N/A     15.32s 37
 173    57.53           345161      119        0.0211636              N/A     17.46s 36
 174    55.42      3.32074e+07      129        0.0210192              N/A     16.76s 36
 175    54.88      2.96081e+06      123        0.0210137              N/A     16.11s 37
 176    53.39       1.6283e+06      123        0.0210137              N/A     18.82s 35
 177    51.80      2.35057e+06      127        0.0209926              N/A     10.85s 34
 178    52.35          3393.26      127        0.0209926              N/A     12.82s 35
 179    55.84      4.84235e+06      127        0.0209926              N/A     10.94s 36
 180    57.44          24815.6      123        0.0208759              N/A     11.30s 37
 181    53.94      5.99665e+13      123        0.0208759              N/A     10.02s 37
 182    53.14          14019.4      123        0.0208759              N/A     10.04s 36
 183    54.05           307733      123        0.0208759              N/A     10.35s 35
 184    50.88          98800.9      123        0.0208759              N/A      9.52s 35
 185    53.03          31370.6      123        0.0208759              N/A      8.29s 35
 186    51.75          7810.74      125        0.0208442              N/A      8.76s 36
 187    55.43          15501.7      125        0.0208442              N/A      7.46s 36
 188    58.51          8391.96      125        0.0208442              N/A      5.61s 38
 189    59.18          38416.5      125        0.0208442              N/A      6.44s 39
 190    58.52          22781.1      125        0.0208442              N/A      5.83s 39
 191    60.32           553970      125        0.0208442              N/A      4.98s 40
 192    59.69          1591.88      125        0.0208442              N/A      4.04s 40
 193    60.41           553799      123         0.020821              N/A      3.78s 41
 194    58.56          1734.83      123         0.020821              N/A      3.14s 42
 195    58.73          46237.9      123         0.020821              N/A      2.37s 42
 196    60.76      5.27583e+06      123         0.020821              N/A      1.81s 41
 197    60.02          35246.6      123         0.020821              N/A      1.20s 41
 198    62.74            26463      123         0.020821              N/A      0.74s 41
 199    61.40      7.87003e+06      123         0.020821              N/A      0.00s 41
 200    60.83           518440      123         0.020821              N/A     33.09s 40
 201    58.59      1.55529e+11      123         0.020821              N/A     28.20s 40
 202    57.49           535879      123         0.020821              N/A     29.21s 40
 203    57.93       2.0447e+09      123         0.020821              N/A     33.41s 40
 204    56.68           601397      123         0.020821              N/A     27.66s 40
 205    59.14          29975.5      123         0.020821              N/A     32.71s 40
 206    57.74          21921.3      123         0.020821              N/A     36.41s 40
 207    59.79            44007      119        0.0208085              N/A     37.91s 38
 208    55.97           363548      119        0.0208085              N/A     34.93s 38
 209    56.26          6324.39      119        0.0208085              N/A     33.57s 39
 210    56.39           353592      119        0.0207777              N/A     35.70s 38
 211    52.13          42061.3      121        0.0207428              N/A     32.82s 38
 212    57.25          2845.73      121        0.0207428              N/A     42.50s 37
 213    56.75      6.80306e+13      121        0.0207428              N/A     37.63s 37
 214    53.73      7.54933e+06      121        0.0207336              N/A     28.44s 38
 215    57.49            36813      121        0.0207336              N/A     30.77s 38
 216    56.71           557083      121        0.0207336              N/A     22.00s 38
 217    57.19          4554.17      121        0.0207336              N/A     25.52s 37
 218    54.34           473455      121        0.0207336              N/A     28.74s 37
 219    55.88           486160      121        0.0207336              N/A     21.52s 37
 220    53.63           136939      121        0.0207336              N/A     24.44s 36
 221    52.60           467663      121        0.0207336              N/A     18.37s 36
 222    53.50           471792      121        0.0207336              N/A     22.71s 36
 223    53.44      4.80572e+06      121        0.0207336              N/A     18.82s 37
 224    56.89          4982.13      121        0.0207336              N/A     19.44s 37
 225    55.07           558893      121        0.0207336              N/A     20.03s 38
 226    55.98          20999.6      121        0.0207336              N/A     18.62s 38
 227    55.74          1428.32      121        0.0207336              N/A     18.07s 40
 228    58.47           471771      121        0.0207336              N/A     17.34s 39
 229    56.47           5220.7      121        0.0207336              N/A     16.00s 39
 230    59.69          928.449      121        0.0207336              N/A     16.63s 40
 231    56.68            21897      113        0.0207203              N/A     17.17s 39
 232    54.33          4726.82      113        0.0207203              N/A     17.63s 39
 233    54.08          7698.42      113        0.0207203              N/A     10.96s 37
 234    54.23          1263.73      113        0.0207203              N/A     11.38s 37
 235    56.19      4.80556e+06      113        0.0207203              N/A     13.75s 37
 236    52.20          4020.58      113        0.0207203              N/A     10.78s 37
 237    52.95          25847.8      113        0.0207203              N/A      8.58s 38
 238    51.47      1.99642e+09      113        0.0207203              N/A      8.97s 38
 239    54.22      8.36541e+07      113        0.0207203              N/A      7.48s 38
 240    53.69           953118      113        0.0207203              N/A      9.37s 38
 241    52.15          3268.45      113        0.0207203              N/A      7.37s 38
 242    55.09           486252       97        0.0207142              N/A      5.78s 36
 243    53.23          59726.8       97        0.0207142              N/A      4.82s 36
 244    50.85          13415.2       97        0.0207142              N/A      4.09s 37
 245    50.92           416208       97        0.0207142              N/A      3.19s 37
 246    50.51          2543.81       97        0.0207142              N/A      2.34s 37
 247    49.93          3910.51       97        0.0207142              N/A      1.43s 37
 248    50.98          2758.06       97        0.0207142              N/A      0.64s 38
 249    51.80          2884.15       97        0.0207142              N/A      0.00s 38
 250    50.86          63768.8       97        0.0207142              N/A     42.64s 37
 251    52.62          19787.5       97        0.0207142              N/A     29.38s 38
 252    52.21          20022.7       97        0.0207142              N/A     32.51s 38
 253    52.22          2583.22       97        0.0207142              N/A     37.14s 38
 254    49.96          22.6154       97        0.0207142              N/A     33.94s 39
 255    49.45          49266.2       97        0.0207142              N/A     33.19s 39
 256    48.86       1.2318e+06       97        0.0207142              N/A     30.65s 39
 257    50.23          17950.6       97        0.0207142              N/A     30.08s 39
 258    51.60          4225.29       97        0.0207142              N/A     32.52s 39
 259    49.71          23875.5       97        0.0207142              N/A     28.08s 39
 260    50.67      2.90827e+10       97        0.0207142              N/A     29.30s 39
 261    49.97           398043       97        0.0207142              N/A     28.50s 39
 262    49.50          22563.8       97        0.0207142              N/A     29.24s 39
 263    48.27          7738.14       97        0.0207142              N/A     29.92s 39
 264    48.67      8.09041e+09       97        0.0207142              N/A     25.75s 39
 265    49.84          2529.37       97        0.0207142              N/A     26.49s 39
 266    48.23          19661.7       97        0.0207142              N/A     27.48s 40
 267    49.67           268642       97        0.0207142              N/A     26.15s 40
 268    48.33          2756.65      109        0.0205611              N/A     22.25s 41
 269    50.17          39274.9      113        0.0205181              N/A     24.64s 43
 270    55.57          20977.5      113        0.0205181              N/A     22.22s 44
 271    56.68          1325.69      113        0.0205053              N/A     21.33s 44
 272    56.70          2039.08      115        0.0205042              N/A     19.78s 45
 273    58.17           269729      115        0.0205042              N/A     22.63s 45
 274    57.62           126028      115        0.0205042              N/A     23.21s 45
 275    58.25          59319.2      115        0.0204496              N/A     21.84s 45
 276    58.44      1.40341e+08      115        0.0204496              N/A     18.63s 46
