    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 384    51.59      5.69119e+09      119       0.00981728              N/A     17.45s 39
 385    53.76       1.0268e+06      121       0.00975302              N/A     13.93s 40
 386    56.05          2863.74      121       0.00975302              N/A     16.25s 40
 387    55.74           338632      121       0.00975302              N/A     13.39s 41
 388    57.34           853341      121       0.00975302              N/A     13.70s 42
 389    56.33          651.341      121       0.00975302              N/A     10.92s 39
 390    57.12          92.5004      119       0.00966311              N/A     10.71s 39
 391    57.42          8352.51      119       0.00966311              N/A      8.34s 41
 392    57.75          26.5563      119       0.00966311              N/A      6.59s 42
 393    59.76          1012.64      121       0.00962435              N/A      6.43s 43
 394    63.07          8871.05      121       0.00962435              N/A      5.38s 44
 395    60.94          14.6896      121       0.00962435              N/A      4.17s 44
 396    61.72           765229      121       0.00962435              N/A      3.73s 39
 397    58.28      1.85229e+09      121       0.00962435              N/A      1.81s 39
 398    56.38          12064.8      121       0.00962435              N/A      1.13s 38
 399    52.83          283.044      121       0.00962435              N/A      0.00s 38
 400    51.84          1365.33      121       0.00962435              N/A      1.08m 38
 401    53.89          71229.4      121       0.00962435              N/A      1.03m 38
 402    53.05          34220.6      125       0.00960659              N/A     59.70s 39
 403    54.95            12240      125       0.00960659              N/A      1.07m 41
 404    56.50          6714.14      125       0.00960659              N/A      1.06m 41
 405    58.72          74892.5      125       0.00960659              N/A      1.08m 41
 406    60.21          6047.38      125       0.00960659              N/A      1.28m 41
 407    58.10      1.05652e+09      125       0.00960659              N/A      1.16m 41
 408    55.10          14.9333      125       0.00960659              N/A     55.03s 41
 409    56.38          185.953      125       0.00960659              N/A     52.96s 41
 410    58.20          41.3475      125       0.00960659              N/A     52.00s 41
 411    56.36           325275      125       0.00960659              N/A      1.04m 41
 412    56.70           2085.7      125       0.00960659              N/A     52.21s 41
 413    55.53          3726.41      125       0.00960659              N/A      1.00m 41
 414    57.20          174.281      125       0.00960659              N/A     50.24s 41
 415    55.61          2849.68      125       0.00960659              N/A     36.70s 41
 416    60.36           1286.4      125       0.00960659              N/A     54.33s 41
 417    58.15      1.98976e+06      125       0.00960659              N/A     45.54s 41
 418    58.71           843361      125       0.00960659              N/A     40.40s 43
 419    58.72           991338      125       0.00960659              N/A     49.28s 43
 420    63.16          2591.71      125       0.00960659              N/A     46.51s 44
 421    59.72          37652.9      125       0.00960659              N/A     40.95s 44
 422    65.61          77.1909      119       0.00954088              N/A     41.74s 41
 423    57.66            52360      119       0.00954088              N/A     40.40s 41
 424    56.27          48.8744      119       0.00954088              N/A     34.06s 40
 425    56.03          425.965      115       0.00951857              N/A     30.42s 39
 426    53.80          158.265      115       0.00951857              N/A     28.52s 40
 427    56.17           149940      115       0.00951857              N/A     30.87s 40
 428    56.42          3789.85      115       0.00951857              N/A     26.52s 40
 429    56.80      8.20175e+06      115       0.00951857              N/A     20.72s 40
 430    55.90          5064.64      115       0.00951857              N/A     25.40s 39
 431    52.28          63421.4      115       0.00951857              N/A     20.54s 39
 432    52.48          98.7993      115       0.00951857              N/A     25.40s 39
 433    54.10          928.225      115       0.00951857              N/A     24.76s 40
 434    55.58          1611.59      115       0.00951857              N/A     18.78s 41
 435    55.45          3194.14      115       0.00951857              N/A     19.69s 41
 436    57.42          1198.57      115       0.00951857              N/A     16.08s 40
 437    54.44          310.333      115       0.00951857              N/A     13.30s 40
 438    55.35          553.533      115       0.00951857              N/A     16.30s 41
 439    56.69      1.42886e+07      115       0.00951857              N/A     12.31s 41
 440    54.79          6547.09      115       0.00951857              N/A     13.40s 41
