    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 187    38.42          78.0001       75        0.0118974              N/A      9.58s 25
 188    39.62          198.515       75        0.0118974              N/A     11.66s 25
 189    35.69          164.576       75        0.0118236              N/A      7.00s 26
 190    38.21          56741.3       67        0.0118095              N/A      6.80s 25
 191    37.01          13.9313       67        0.0118095              N/A      5.63s 27
 192    37.14      4.95155e+08       67        0.0118095              N/A      4.89s 27
 193    38.47          9627.77       67        0.0118095              N/A      4.41s 27
 194    37.72          185.849       67        0.0118095              N/A      4.97s 27
 195    37.80          38.0417       67        0.0118095              N/A      3.65s 28
 196    38.47          1782.18       67        0.0118095              N/A      2.18s 28
 197    38.74          23526.3       67        0.0118095              N/A      1.78s 28
 198    38.38          39.8997       67        0.0118095              N/A      1.04s 26
 199    37.47          1521.76       67        0.0118095              N/A      0.00s 25
 200    37.48          3466.74       67        0.0118095              N/A     44.28s 25
 201    36.31          3359.65       67        0.0118095              N/A     40.92s 24
 202    34.54          1046.69       67        0.0118095              N/A     39.63s 25
 203    35.77      3.92564e+06       67        0.0118095              N/A     38.23s 27
 204    34.89           130540       67        0.0118095              N/A     33.97s 27
 205    37.72          46.8425       67        0.0118067              N/A     34.92s 27
 206    36.68          83102.6       65        0.0117932              N/A     30.18s 27
 207    36.16          966.851       65        0.0117932              N/A     38.24s 27
 208    35.21          735.516       65        0.0117932              N/A     31.90s 27
 209    36.35          572.389       65        0.0117932              N/A     33.43s 25
 210    36.53          1286.93       65        0.0117932              N/A     28.29s 25
 211    35.33          398.453       65        0.0117932              N/A     27.03s 25
 212    36.66          1312.11       65        0.0117932              N/A     22.88s 26
 213    35.38          123.934       65        0.0117932              N/A     27.68s 26
 214    36.74          23971.1       65        0.0117932              N/A     27.76s 26
 215    35.85          3497.93       65        0.0117932              N/A     26.74s 26
 216    34.90           627063       65        0.0117932              N/A     20.30s 26
 217    35.59          4881.78       65        0.0117932              N/A     23.82s 26
 218    35.10          4355.62       65        0.0117932              N/A     21.81s 26
 219    38.12           294365       67        0.0117335              N/A     21.82s 27
 220    37.53          16.9791       67        0.0117335              N/A     17.97s 27
 221    38.62          139.011       69        0.0114367              N/A     17.81s 28
 222    38.32           291.57       69        0.0114367              N/A     21.34s 28
 223    38.87           285094       69        0.0114367              N/A     22.91s 28
 224    39.80          16.6823       69        0.0114367              N/A     22.23s 28
 225    38.96          31.1001       69        0.0114367              N/A     29.65s 28
 226    38.62      1.91717e+10       69        0.0114367              N/A     24.97s 28
 227    37.85          57034.1       69        0.0114367              N/A     20.67s 28
 228    39.75          1634.34       69        0.0114367              N/A     20.97s 28
 229    37.18          630.201       69        0.0114367              N/A     15.46s 28
 230    39.45          124.798       69        0.0114367              N/A     15.51s 28
 231    38.71          139.566       69        0.0114367              N/A     14.17s 28
 232    38.93          99.2147       69        0.0114367              N/A     18.09s 29
 233    39.20          73.4122       69        0.0114367              N/A     17.24s 29
 234    40.17          80.7268       69        0.0114367              N/A     14.78s 29
 235    42.41          20633.9       69        0.0114367              N/A     15.83s 28
 236    38.53          3120.03       69        0.0114367              N/A     12.12s 28
 237    39.24           3900.4       69        0.0114367              N/A      8.93s 27
 238    37.01           635326       69        0.0114367              N/A     10.10s 28
 239    38.54          51.7632       63        0.0114369              N/A      9.18s 27
 240    36.87          401.191       63        0.0114369              N/A      7.73s 27
 241    35.51      1.03511e+06       63        0.0114369              N/A      8.19s 27
 242    37.22          24951.4       63        0.0114369              N/A      7.40s 27
 243    35.91          436.715       63        0.0114369              N/A      4.72s 27
 244    36.73          39358.2       63        0.0114369              N/A      4.15s 27
 245    37.33          19.4512       63        0.0114369              N/A      3.52s 27
