    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 143    79.83         0.331353       85         0.011547              N/A     44.72s
 144    82.49          100.187      105        0.0114979              N/A     44.47s
 145    81.06         0.161844       85         0.011547              N/A     44.16s
 146    80.52        0.0939122       85         0.011547              N/A     42.69s
 147    80.79         0.262287       85         0.011547              N/A     50.18s
 148    82.14         0.457053       85         0.011547              N/A     50.57s
 149    81.54         0.419181       85         0.011547              N/A     43.13s
 150    83.36         0.171645       85         0.011547              N/A     46.38s
 151    84.67         0.185242       99        0.0112406              N/A     38.05s
 152    84.88         0.676436       99        0.0112406              N/A     40.21s
 153    86.41        0.0792097       99        0.0112406              N/A     42.64s
 154    84.81         0.250752       99        0.0112406              N/A     36.58s
 155    84.50         0.166202      103        0.0112958              N/A     39.15s
 156    82.91         0.441975       99        0.0112406              N/A     41.66s
 157    84.85        0.0782275       99        0.0112406              N/A     35.44s
 158    85.89          10316.8      195        0.0114078              N/A     37.08s
 159    84.49          0.69851       93        0.0115419              N/A     41.37s
 160    83.60         0.112651       99        0.0112406              N/A     35.02s
 161    84.57        0.0902221       99        0.0112406              N/A     35.95s
 162    86.40          0.12681       85         0.011547              N/A     37.70s
 163    83.28         0.176098       85         0.011547              N/A     34.32s
 164    84.36         0.784786       95        0.0115053              N/A     34.89s
 165    85.80         0.118943       91        0.0115227              N/A     38.40s
 166    85.39        0.0841474       99        0.0112406              N/A     35.01s
 167    86.80        0.0936142       97        0.0112664              N/A     41.51s
 168    84.18          8.98361       97        0.0112664              N/A     41.43s
 169    85.19         0.286367       99        0.0112406              N/A     31.77s
 170    83.42         0.166505       97        0.0113147              N/A     32.61s
 171    85.04         0.136031       85        0.0114915              N/A     32.49s
 172    84.94        0.0967893       97        0.0113695              N/A     34.28s
 173    85.97         0.102057       99        0.0112406              N/A     31.51s
 174    83.11        0.0844662      103        0.0111036              N/A     34.33s
 175    84.69         0.796215       97        0.0113577              N/A     33.89s
 176    85.03         0.176629       99        0.0112406              N/A     30.08s
 177    83.91         0.269295       99        0.0112406              N/A     32.17s
 178    85.61         0.306151       99        0.0112406              N/A     28.77s
 179    84.41         0.531256       99        0.0112406              N/A     27.27s
 180    85.59         0.105952      105        0.0110028              N/A     30.63s
 181    83.25         0.735469      103         0.011167              N/A     26.56s
 182    83.44         0.559581       89        0.0112646              N/A     26.37s
 183    86.10         0.501015      177        0.0112117              N/A     29.75s
 184    86.33         0.120654       99        0.0112241              N/A     27.32s
