    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
 119 9.27e+00          61.4933 9.00e+00        0.0526491              N/A      6.40s 0
 120 9.12e+00          726.528 9.00e+00        0.0526491              N/A      5.14s 0
 121 9.24e+00          362.696 9.00e+00        0.0526491              N/A      3.85s 0
 122 9.12e+00          61.7092 9.00e+00        0.0526491              N/A      2.57s 0
 123 9.17e+00          75.1914 9.00e+00        0.0526491              N/A      1.31s 0
 124 9.20e+00          7546.78 9.00e+00        0.0526491              N/A      0.00s 0
 125 9.12e+00           124767 9.00e+00        0.0526491              N/A     30.70s 0
 126 9.19e+00          60.1494 9.00e+00        0.0526491              N/A     29.77s 0
 127 9.09e+00          85.8747 9.00e+00        0.0526491              N/A     28.61s 0
 128 9.06e+00           165275 9.00e+00        0.0526491              N/A     27.08s 0
 129 9.26e+00          1349.59 9.00e+00        0.0526491              N/A     25.71s 0
 130 9.22e+00          257.816 9.00e+00        0.0526491              N/A     24.46s 0
 131 9.04e+00          209.139 9.00e+00        0.0526491              N/A     23.72s 0
 132 8.94e+00          888.128 9.00e+00        0.0526491              N/A     21.84s 0
 133 8.91e+00          87.5725 9.00e+00        0.0526491              N/A     20.50s 0
 134 9.41e+00          447.634 9.00e+00        0.0526491              N/A     19.37s 0
 135 9.23e+00          957.872 9.00e+00        0.0526491              N/A     18.25s 0
 136 9.24e+00       8.1459e+06 9.00e+00        0.0526491              N/A     17.01s 0
 137 9.10e+00          55.9557 9.00e+00        0.0526491              N/A     15.56s 0
 138 9.14e+00           698288 9.00e+00        0.0526491              N/A     14.24s 0
 139 9.35e+00          522.931 9.00e+00        0.0526491              N/A     12.67s 0
 140 9.34e+00          64.5089 9.00e+00        0.0526491              N/A     11.70s 0
 141 9.07e+00          108.501 9.00e+00        0.0526491              N/A     10.58s 0
 142 8.78e+00          818.623 9.00e+00        0.0526491              N/A      8.89s 0
 143 9.26e+00           557659 9.00e+00        0.0526491              N/A      7.53s 0
 144 9.16e+00          360.417 9.00e+00        0.0526491              N/A      6.25s 0
 145 8.87e+00          57.7675 9.00e+00        0.0526491              N/A      5.06s 0
 146 8.73e+00          803.232 9.00e+00        0.0526491              N/A      3.78s 0
 147 9.19e+00          984.794 9.00e+00        0.0526491              N/A      2.55s 0
 148 9.03e+00          63.6256 9.00e+00        0.0526491              N/A      1.28s 0
 149 9.29e+00          14315.7 9.00e+00        0.0526491              N/A      0.00s 0
 150 9.29e+00          90.3138 9.00e+00        0.0526491              N/A     30.63s 0
 151 9.19e+00          57.1337 9.00e+00        0.0526491              N/A     29.79s 0
 152 8.95e+00            57.57 9.00e+00        0.0526491              N/A     27.88s 0
 153 9.09e+00          99956.3 9.00e+00        0.0526491              N/A     26.98s 0
 154 9.36e+00          127.351 9.00e+00        0.0526491              N/A     25.60s 0
 155 9.09e+00          720.783 9.00e+00        0.0526491              N/A     24.64s 0
 156 9.12e+00          444.032 9.00e+00        0.0526491              N/A     22.61s 0
 157 9.14e+00          385.506 9.00e+00        0.0526491              N/A     21.42s 0
 158 9.04e+00           924586 9.00e+00        0.0526491              N/A     20.43s 0
 159 9.02e+00          60.7313 9.00e+00        0.0526491              N/A     18.63s 0
 160 9.09e+00          955.295 9.00e+00        0.0526491              N/A     17.85s 0
 161 9.01e+00          173.814 9.00e+00        0.0526491              N/A     16.47s 0
 162 9.11e+00            768.1 9.00e+00        0.0526491              N/A     15.70s 0
 163 9.08e+00          89.0958 9.00e+00        0.0526491              N/A     14.07s 0
 164 9.13e+00          56.3617 9.00e+00        0.0526491              N/A     12.68s 0
 165 9.19e+00          1198.12 9.00e+00        0.0526491              N/A     11.43s 0
 166 9.18e+00          81.1387 1.10e+01        0.0518505              N/A     10.24s 0
 167 9.11e+00          912.724 9.00e+00        0.0526491              N/A      9.07s 0
